21.9468 	EXP 	fixation: autoDraw = True
22.0715 	EXP 	Device response: <KeyPress from None: t=21.928458374997717, value=right, duration=0.1355831249966286>
22.4372 	INFO 	Keyboard events cleared
22.4370 	EXP 	grating: autoDraw = True
22.4421 	EXP 	fixation: autoDraw = False
22.7236 	EXP 	grating: autoDraw = False
23.0908 	EXP 	Device response: <KeyPress from None: t=23.08759724999254, value=right, duration=None>
23.0957 	DATA 	Keypress: right
23.1035 	EXP 	fixation: autoDraw = False
23.1035 	EXP 	grating: autoDraw = False
23.1035 	EXP 	grating: ori = np.float64(-1.0)
23.1035 	EXP 	fixation: autoDraw = True
23.1881 	EXP 	Device response: <KeyPress from None: t=23.08759724999254, value=right, duration=0.09229975000198465>
23.5914 	INFO 	Keyboard events cleared
23.5912 	EXP 	fixation: autoDraw = False
23.5912 	EXP 	grating: autoDraw = True
23.8899 	EXP 	grating: autoDraw = False
24.3411 	EXP 	Device response: <KeyPress from None: t=24.33764854200126, value=left, duration=None>
24.3459 	DATA 	Keypress: left
24.3535 	EXP 	fixation: autoDraw = False
24.3535 	EXP 	grating: autoDraw = False
24.3535 	EXP 	grating: ori = np.float64(1.0)
24.3535 	EXP 	fixation: autoDraw = True
24.4553 	EXP 	Device response: <KeyPress from None: t=24.33764854200126, value=left, duration=0.10826958299730904>
24.8368 	INFO 	Keyboard events cleared
24.8366 	EXP 	grating: autoDraw = True
24.8403 	EXP 	fixation: autoDraw = False
25.1242 	EXP 	grating: autoDraw = False
25.5049 	EXP 	Device response: <KeyPress from None: t=25.501614749999135, value=right, duration=None>
25.5097 	EXP 	fixation: autoDraw = False
25.5097 	EXP 	grating: autoDraw = False
25.5097 	EXP 	grating: ori = np.float64(1.0)
25.5097 	EXP 	fixation: autoDraw = True
25.5134 	DATA 	Keypress: right
25.6212 	EXP 	Device response: <KeyPress from None: t=25.501614749999135, value=right, duration=0.11238237499492243>
26.0037 	INFO 	Keyboard events cleared
26.0035 	EXP 	grating: autoDraw = True
26.0079 	EXP 	fixation: autoDraw = False
26.2899 	EXP 	grating: autoDraw = False
26.7052 	EXP 	Device response: <KeyPress from None: t=26.700592334003886, value=right, duration=None>
26.7109 	DATA 	Keypress: right
26.7139 	EXP 	fixation: autoDraw = False
26.7139 	EXP 	grating: autoDraw = False
26.7139 	EXP 	grating: ori = np.float64(-1.0)
26.7139 	EXP 	fixation: autoDraw = True
26.8052 	EXP 	Device response: <KeyPress from None: t=26.700592334003886, value=right, duration=0.09637349999684375>
27.2035 	INFO 	Keyboard events cleared
27.2033 	EXP 	grating: autoDraw = True
27.2075 	EXP 	fixation: autoDraw = False
27.4906 	EXP 	grating: autoDraw = False
27.8385 	EXP 	Device response: <KeyPress from None: t=27.83021583399386, value=left, duration=None>
27.8442 	DATA 	Keypress: left
27.8471 	EXP 	fixation: autoDraw = False
27.8471 	EXP 	grating: autoDraw = False
27.8471 	EXP 	grating: ori = np.float64(-1.0)
27.8471 	EXP 	fixation: autoDraw = True
27.9551 	EXP 	Device response: <KeyPress from None: t=27.83021583399386, value=left, duration=0.11576904100365937>
28.3368 	INFO 	Keyboard events cleared
28.3366 	EXP 	grating: autoDraw = True
28.3408 	EXP 	fixation: autoDraw = False
28.6230 	EXP 	grating: autoDraw = False
29.2744 	EXP 	Device response: <KeyPress from None: t=29.273477750000893, value=left, duration=None>
29.2791 	DATA 	Keypress: left
29.2867 	EXP 	fixation: autoDraw = False
29.2867 	EXP 	grating: autoDraw = False
29.2867 	EXP 	grating: ori = np.float64(-1.0)
29.2867 	EXP 	fixation: autoDraw = True
29.3718 	EXP 	Device response: <KeyPress from None: t=29.273477750000893, value=left, duration=0.09239708399400115>
29.7761 	INFO 	Keyboard events cleared
29.7759 	EXP 	fixation: autoDraw = False
29.7759 	EXP 	grating: autoDraw = True
30.0735 	EXP 	grating: autoDraw = False
30.6047 	EXP 	Device response: <KeyPress from None: t=30.59133620899229, value=left, duration=None>
30.6096 	DATA 	Keypress: left
30.6124 	EXP 	fixation: autoDraw = False
