thisN,thisTrialN,thisRepN,rating_resp.keys,rating_resp.rt,rating_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro_instructions.started,instructions.started,key_resp.started,intro_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,image_rating.started,image.started,fixation.started,rating_resp.started,image.stopped,fixation.stopped,rating_resp.stopped,image_rating.stopped,trial_num,image_name,rating,response_given,trials.rating_resp.keys,trials.rating_resp.rt,trials.rating_resp.duration,end_thanks.started,thankyou.started,thankyou.stopped,end_thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
23,0,23,4,0.5497617920045741,0.1580648749950342,23,0,23,0,175.96847608400276,,,,,,,,,175.9636008750531,175.96847608400276,178.95950400002766,178.95950400002766,178.95950400002766,182.96981929201866,182.96981929201866,182.95301641704282,24,Plane crash 1.jpg,4,1,4,0.5497617920045741,0.1580648749950342,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
24,0,24,4,0.6389130000025034,0.14998166699660942,24,0,24,0,182.96981929201866,,,,,,,,,182.9651310420013,182.96981929201866,185.95968870900106,185.95968870900106,185.96820787503384,189.97058566700434,189.97058566700434,189.95325779204722,25,Dead bodies 1.jpg,4,1,4,0.6389130000025034,0.14998166699660942,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
25,0,25,1,0.5596181249711663,0.15000216598855332,25,0,25,0,189.97058566700434,,,,,,,,,189.96576454205206,189.97058566700434,192.95978945901152,192.95978945901152,192.968093084055,196.9690653340076,196.9690653340076,196.95328158402117,26,Wedding 12.jpg,1,1,1,0.5596181249711663,0.15000216598855332,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
26,0,26,2,0.4327366250217892,0.15412595798261464,26,0,26,0,196.9690653340076,,,,,,,,,196.9643820420024,196.9690653340076,199.95876170904376,199.95876170904376,199.95876170904376,203.95474691700656,203.95474691700656,203.94229504204122,27,Pig 2.jpg,2,1,2,0.4327366250217892,0.15412595798261464,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
27,0,27,3,0.3619759170105681,0.17805354099255055,27,0,27,0,203.95474691700656,,,,,,,,,203.95139587501762,203.96801104204496,206.95991987502202,206.95991987502202,206.95991987502202,210.97213733399985,210.97213733399985,210.9542225000332,28,Grass 6.jpg,3,1,3,0.3619759170105681,0.17805354099255055,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
28,0,28,3,0.7461808740044944,0.16202758403960615,28,0,28,0,210.97213733399985,,,,,,,,,210.96732900000643,210.97213733399985,213.95927900000243,213.95927900000243,213.96804945904296,217.96944375004387,217.96944375004387,217.95215666701552,29,Dirt 1.jpg,3,1,3,0.7461808740044944,0.16202758403960615,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
29,0,29,4,0.5481790830381215,0.14598387497244403,29,0,29,0,217.96944375004387,,,,,,,,,217.9647242500214,217.96944375004387,220.95889879204333,220.95889879204333,220.9678292090539,224.95820087502943,224.95820087502943,224.9434159170487,30,Dog attack 3.jpg,4,1,4,0.5481790830381215,0.14598387497244403,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
30,0,30,4,0.5972920829663053,0.162010750034824,30,0,30,0,224.95820087502943,,,,,,,,,224.95396733400412,224.96793354203692,227.95882300002268,227.95882300002268,227.95882300002268,231.96827258402482,231.96827258402482,231.9528521670145,31,Ambulance 1.jpg,4,1,4,0.5972920829663053,0.162010750034824,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
31,0,31,3,0.9640184579766355,0.1763537079677917,31,0,31,0,231.96827258402482,,,,,,,,,231.9635338340304,231.96827258402482,234.9588992500212,234.9588992500212,234.9588992500212,238.96812245901674,238.96812245901674,238.95264533400768,32,Snow 3.jpg,3,1,3,0.9640184579766355,0.1763537079677917,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
32,0,32,4,0.5281677910243161,0.17004558397457004,32,0,32,0,238.96812245901674,,,,,,,,,238.96336133405566,238.96812245901674,241.95894933404634,241.95894933404634,241.95894933404634,245.96813570900122,245.96813570900122,245.95247866702266,33,Bear 2.jpg,4,1,4,0.5281677910243161,0.17004558397457004,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
33,0,33,3,2.544228542014025,0.17362666595727205,33,0,33,0,245.96813570900122,,,,,,,,,245.96328325005015,245.96813570900122,248.95900229201652,248.95900229201652,248.95900229201652,252.95836675004102,252.95836675004102,252.94332308403682,34,Spider 2.jpg,3,1,3,2.544228542014025,0.17362666595727205,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
34,0,34,4,0.44781308301026,0.18224325001938269,34,0,34,0,252.95836675004102,,,,,,,,,252.95427975000348,252.96735400002217,255.95881483401172,255.95881483401172,255.95881483401172,259.9676234170329,259.9676234170329,259.95237370900577,35,Fire 9.jpg,4,1,4,0.44781308301026,0.18224325001938269,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
35,0,35,4,0.3574059989769012,0.16209624998737127,35,0,35,0,259.9676234170329,,,,,,,,,259.96288591704797,259.9676234170329,262.95842287503183,262.95842287503183,262.95842287503183,266.96860087499954,266.96860087499954,266.9521438750089,36,Gun 5.jpg,4,1,4,0.3574059989769012,0.16209624998737127,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
36,0,36,4,0.7085361669887789,0.19003491604235023,36,0,36,0,266.96860087499954,,,,,,,,,266.9639822920435,266.96860087499954,269.9585356670432,269.9585356670432,269.9585356670432,273.9679618750233,273.9679618750233,273.9524987920304,37,Solar panel 1.jpg,4,1,4,0.7085361669887789,0.19003491604235023,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
37,0,37,2,0.39888579200487584,0.1499697079998441,37,0,37,0,273.9679618750233,,,,,,,,,273.96313245903,273.9679618750233,276.9583983750199,276.9583983750199,276.9583983750199,280.9664442920475,280.9664442920475,280.952514292032,38,School 1.jpg,2,1,2,0.39888579200487584,0.1499697079998441,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
38,0,38,4,0.3675333330174908,0.1340881249634549,38,0,38,0,280.9664442920475,,,,,,,,,280.96174020902254,280.9664442920475,283.9586259589996,283.9586259589996,283.9586259589996,287.9663242500392,287.9663242500392,287.95214758400107,39,Tornado 1.jpg,4,1,4,0.3675333330174908,0.1340881249634549,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
39,0,39,4,0.3524420830071904,0.14206329197622836,39,0,39,0,287.9663242500392,,,,,,,,,287.961492750037,287.9663242500392,290.9582779170014,290.9582779170014,290.9582779170014,294.96699437504867,294.96699437504867,294.95224158401834,40,Shot 3.jpg,4,1,4,0.3524420830071904,0.14206329197622836,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
40,0,40,4,0.37373595795361325,0.12204120901878923,40,0,40,0,294.96699437504867,,,,,,,,,294.96240512502845,294.96699437504867,297.9580840000417,297.9580840000417,297.9580840000417,301.96550454205135,301.96550454205135,301.951619917003,41,Severed finger 1.jpg,4,1,4,0.37373595795361325,0.12204120901878923,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
41,0,41,3,0.7340122910100035,0.18994920799741521,41,0,41,0,301.96550454205135,,,,,,,,,301.96079487504903,301.96550454205135,304.95814141700976,304.95814141700976,304.95814141700976,308.9550739170518,308.9550739170518,308.941600625054,42,Gazing 2.jpg,3,1,3,0.7340122910100035,0.18994920799741521,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
42,0,42,3,0.7574420410091989,0.1652256249799393,42,0,42,0,308.9550739170518,,,,,,,,,308.95123612502357,308.9669901250163,311.95798516704235,311.95798516704235,311.95798516704235,315.96748208400095,315.96748208400095,315.95214366703294,43,Alcohol 6.jpg,3,1,3,0.7574420410091989,0.1652256249799393,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
43,0,43,1,0.3571919579990208,0.1863869579974562,43,0,43,0,315.96748208400095,,,,,,,,,315.96344337501796,315.98366387502756,318.96689170901664,318.96689170901664,318.9724894170067,322.9651133750449,322.9651133750449,322.9519806250464,44,Bark 6.jpg,1,1,1,0.3571919579990208,0.1863869579974562,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
44,0,44,1,0.32479295798111707,0.17395045899320394,44,0,44,0,322.9651133750449,,,,,,,,,322.9610400000238,322.96891091699945,325.9654845420155,325.9654845420155,325.9654845420155,329.9673650840414,329.9673650840414,329.9508163340506,45,Stingray 2.jpg,1,1,1,0.32479295798111707,0.17395045899320394,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
45,0,45,4,0.39963324897689745,0.1657317919889465,45,0,45,0,329.9673650840414,,,,,,,,,329.96335529204225,329.9835290000192,332.9668488750467,332.9668488750467,332.9722697500256,336.9690486670006,336.9690486670006,336.9522073750268,46,Rafting 6.jpg,4,1,4,0.39963324897689745,0.1657317919889465,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
46,0,46,2,0.33393399900523946,0.19397600000957027,46,0,46,0,336.9690486670006,,,,,,,,,336.96492820902495,336.98359320900636,339.9654945420334,339.9654945420334,339.98356854205485,343.9656792500173,343.9656792500173,343.9513682090328,47,Animal carcass 1.jpg,2,1,2,0.33393399900523946,0.19397600000957027,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
47,0,47,4,1.4943704159813933,0.12598170904675499,47,0,47,0,343.9656792500173,,,,,,,,,343.961650000012,343.9694588750135,346.96544675005134,346.96544675005134,346.96544675005134,350.9548620840069,350.9548620840069,350.9510011250386,48,War 8.jpg,4,1,4,1.4943704159813933,0.12598170904675499,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.95116520900046,350.96664612501627,351.95582716702484,351.95080333400983,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
