reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
47,74,60,25,25,0,t,0.6547860410064459,None,0,25,25,19,52.50665862497408,,52.49757912498899,52.50665862497408,53.489155582967214,53.489155582967214,53.49538624996785,54.14609933301108,t,0.6547860410064459,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
44,88,20,26,26,0,t,1.1652340409928001,None,0,26,26,62,54.16123625001637,,54.15271020797081,54.16123625001637,55.14567066601012,55.14567066601012,55.1556422910071,56.312837124976795,t,1.1652340409928001,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
74,98,120,27,27,0,t,1.1932142499717884,None,0,27,27,31,56.32770587498089,,56.31919491599547,56.32770587498089,57.312767249997705,57.312767249997705,57.3224230830092,58.513536540966015,t,1.1932142499717884,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
54,110,25,28,28,0,l,1.6550852910149843,None,0,28,28,67,58.52769370796159,,58.519367458007764,58.52769370796159,59.51275399996666,59.51275399996666,59.522200707986485,61.174220165994484,l,1.6550852910149843,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
26,52,11,29,29,0,t,1.6354637909680605,None,0,29,29,53,61.191640125005506,,61.18252787500387,61.191640125005506,62.17232274997514,62.17232274997514,62.188929833006114,63.81293045799248,t,1.6354637909680605,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
78,170,37,30,30,0,l,1.4004725830163807,None,0,30,30,79,63.82770012499532,,63.819429208000656,63.82770012499532,64.81219712499296,64.81219712499296,64.82219274999807,66.22429624997312,l,1.4004725830163807,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
50,100,23,31,31,0,l,0.3812892499845475,None,0,31,31,65,66.24056320800446,,66.2316199580091,66.24056320800446,67.2223322080099,67.2223322080099,67.23889279097784,67.60733299999265,l,0.3812892499845475,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
104,235,50,32,32,0,l,0.8060645830119029,None,0,32,32,92,67.62335791595979,,67.61422941600904,67.62335791595979,68.60552450001705,68.60552450001705,68.6222059999709,69.42409279098501,l,0.8060645830119029,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
58,82,80,33,33,0,t,0.8004408740089275,None,0,33,33,23,69.44032358296681,,69.4314592499868,69.44032358296681,70.42212904099142,70.42212904099142,70.43892391596455,71.22802666598,t,0.8004408740089275,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
70,94,110,34,34,0,t,0.6045032079564407,None,0,34,34,29,71.24363350000931,,71.2354519579676,71.24363350000931,72.22208649996901,72.22208649996901,72.23890629096422,72.82952004100662,t,0.6045032079564407,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
106,240,51,35,35,0,l,0.6302923749899492,None,0,35,35,93,72.84413766599027,,72.83579108299455,72.84413766599027,73.82912379101617,73.82912379101617,73.8386822079774,74.4624049999984,l,0.6302923749899492,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
62,130,29,36,36,0,t,0.621501874004025,None,0,36,36,71,74.47689099999843,,74.46873320796294,74.47689099999843,75.46196016599424,75.46196016599424,75.47203083301429,76.09009449998848,t,0.621501874004025,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
98,220,47,37,37,0,l,1.719549041998107,None,0,37,37,89,76.10571879096096,,76.09678191598505,76.10571879096096,77.08886099996744,77.08886099996744,77.09518524998566,78.81245699996362,l,1.719549041998107,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
66,140,31,38,38,0,t,1.8077422080095857,None,0,38,38,73,78.82643675000872,,78.81854762497824,78.82643675000872,79.80559841601644,79.80559841601644,79.82199258299079,81.62414483301109,t,1.8077422080095857,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
108,245,52,39,39,0,l,2.0792003750102594,None,0,39,39,94,81.64120529097272,,81.63257995800814,81.64120529097272,82.62209704099223,82.62209704099223,82.63866958301514,84.70710491598584,l,2.0792003750102594,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
94,210,45,40,40,0,l,0.9349530420149677,None,0,40,40,87,84.72299291600939,,84.71404104097746,84.72299291600939,85.7052119160071,85.7052119160071,85.72207629098557,86.64625358296325,l,0.9349530420149677,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
39,68,45,41,41,0,t,0.6080600410350598,None,0,41,41,16,86.66134054097347,,86.65272991597885,86.66134054097347,87.646225125005,87.646225125005,87.65514250000706,88.25743574998342,t,0.6080600410350598,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
24,48,10,42,42,0,t,0.862934208009392,None,0,42,42,52,88.27373904100386,,88.26476945797913,88.27373904100386,89.25530154100852,89.25530154100852,89.27190499997232,90.12385483301478,t,0.862934208009392,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
84,185,40,43,43,0,l,1.4852639169548638,None,0,43,43,82,90.14043054101057,,90.13108124997234,90.14043054101057,91.121939249977,91.121939249977,91.13855224999133,92.61169374996098,l,1.4852639169548638,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
12,24,4,44,44,0,t,0.8940050000092015,None,0,44,44,46,92.62614970799768,,92.61799341597361,92.62614970799768,93.61210587498499,93.61210587498499,93.62189287500223,94.51189754100051,t,0.8940050000092015,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
80,110,135,45,45,0,t,1.1388683749828488,None,0,45,45,34,94.52675904100761,,94.51906249998137,94.52675904100761,95.50513349997345,95.50513349997345,95.52191791596124,96.64560487499693,t,1.1388683749828488,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
82,180,39,46,46,0,t,0.9573063330026343,None,0,46,46,81,96.65969829098321,,96.65187420800794,96.65969829098321,97.6456875000149,97.6456875000149,97.65530520799803,98.60683187498944,t,0.9573063330026343,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
49,60,89,47,47,0,t,1.1773510409984738,None,0,47,47,4,98.62280637497315,,98.6137298750109,98.62280637497315,99.60552666598232,99.60552666598232,99.61182454100344,100.78990670799976,t,1.1773510409984738,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
88,195,42,48,48,0,t,1.0632872079731897,None,0,48,48,84,100.8053269580123,,100.796647457988,100.8053269580123,101.7886238329811,101.7886238329811,101.79449579096399,102.85714370798087,t,1.0632872079731897,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
78,80,162,49,49,0,t,0.6865783740067855,None,0,49,49,6,102.87333375000162,,102.864367666014,102.87333375000162,103.85527941596229,103.85527941596229,103.87197024998022,104.54611187498085,t,0.6865783740067855,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
64,135,30,50,50,0,l,1.1728097079903819,None,0,50,50,72,104.5612013330101,,104.55331504100468,104.5612013330101,105.54511179099791,105.54511179099791,105.55513954098569,106.72306029096944,l,1.1728097079903819,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
20,40,8,51,51,0,t,1.130831708025653,None,0,51,51,50,106.73861612495966,,106.73006274999352,106.73861612495966,107.72191841597669,107.72191841597669,107.72823741601314,108.85716995800612,t,1.130831708025653,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
100,225,48,52,52,0,l,1.0985151250497438,None,0,52,52,90,108.87300179101294,,108.86419474997092,108.87300179101294,109.85521474998677,109.85521474998677,109.87187312496826,110.95720274996711,l,1.0985151250497438,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
