delay,freq,conditions,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,polygon.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.1,1000.0,exp,355,7,29,space,0.42512316699139774,None,100,1,[1.6076388329965994],[1.6076435419963673],29,7,355,9,2475.3891752080526,,2475.3810134580126,2475.3891752080526,2476.373750750092,2476.373750750092,2476.379906166112,2476.808597125113,space,0.42512316699139774,None,2476.810213083052,2476.9126387497568,2477.3665370830568,2477.347470583045,2477.3494905000553,2477.3665370830568,2477.3665370830568,2477.3665370830568,2478.9745384580456,100,1,[1.6076388329965994],[1.6076435419963673],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.1,1000.0,exp,356,8,29,space,0.2349875420331955,None,100,1,[1.0068805000046268],[1.0068855420686305],29,8,356,3,2478.978250208078,,2478.9747125830036,2478.978250208078,2479.963751916075,2479.963751916075,2479.9737743750447,2480.2091802910436,space,0.2349875420331955,None,2480.211102250032,2480.3128483327496,2480.7668912080117,2480.7475162910996,2480.7497015410336,2480.7668912080117,2480.7668912080117,2480.7668912080117,2481.774137708009,100,1,[1.0068805000046268],[1.0068855420686305],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.4,1000.0,exp,357,9,29,space,0.232835041009821,None,100,1,[1.116556084016338],[1.1165608339942992],29,9,357,4,2481.777622875059,,2481.774309500004,2481.777622875059,2482.7637939160923,2482.7637939160923,2482.7738712080754,2483.0085804160917,space,0.232835041009821,None,2483.010604458046,2483.410788749756,2483.8641952910693,2483.8456195830368,2483.8476863750257,2483.8641952910693,2483.8641952910693,2483.8641952910693,2484.9811073750025,100,1,[1.116556084016338],[1.1165608339942992],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.7,1000.0,exp,358,10,29,space,2.4824492500629276,None,400,1,[1.2371977909933776],[1.2372022909112275],29,10,358,5,2484.989326291019,,2484.9812810410513,2484.989326291019,2485.979192291037,2485.979192291037,2485.979192291037,2488.464237041073,space,2.4824492500629276,None,2488.4654093330028,2489.1738979167462,2489.6274709580466,2489.6084510410437,2489.610488375067,2489.6274709580466,2489.6274709580466,2489.6274709580466,2490.8650331660174,400,1,[1.2371977909933776],[1.2372022909112275],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.1,400.0,unexp,359,11,29,space,0.5651568750618026,None,300,1,[1.6143862919416279],[1.6143916249275208],29,11,359,0,2490.8729662080295,,2490.865380291012,2490.8729662080295,2491.8633024160517,2491.8633024160517,2491.8633024160517,2492.4306317910086,space,0.5651568750618026,None,2492.432191500091,2492.5405882077216,2492.9946343330666,2492.9751459580148,2492.977515791077,2492.9946343330666,2492.9946343330666,2492.9946343330666,2494.6094112910796,300,1,[1.6143862919416279],[1.6143916249275208],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.7,1000.0,exp,360,0,30,space,0.3754501669900492,None,500,1,[1.8946364170406014],[1.8946410421049222],30,0,360,11,2494.6227684160694,,2494.6095866661053,2494.6227684160694,2495.607083875104,2495.607083875104,2495.6116298330016,2495.9922287081135,space,0.3754501669900492,None,2495.9939832080854,2496.696551249774,2497.151794250007,2497.131282166112,2497.1333454160485,2497.151794250007,2497.151794250007,2497.151794250007,2499.0468142080354,500,1,[1.8946364170406014],[1.8946410421049222],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.4,1000.0,exp,361,1,30,space,0.34905525005888194,None,400,1,[2.1197207079967484],[2.119725957978517],30,1,361,10,2499.0555652910843,,2499.046989375027,2499.0555652910843,2500.046185583109,2500.046185583109,2500.046185583109,2500.3988347080303,space,0.34905525005888194,None,2500.400404041051,2500.8076231667696,2501.2622878750553,2501.242119958042,2501.2443724580808,2501.2622878750553,2501.2622878750553,2501.2622878750553,2503.3824032910634,400,1,[2.1197207079967484],[2.119725957978517],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.4,400.0,unexp,362,2,30,space,0.2352776249172166,None,400,1,[2.5460000410676003],[2.5460054160794243],30,2,362,1,2503.3889335410204,,2503.3828239580616,2503.3889335410204,2504.38003608305,2504.38003608305,2504.38003608305,2504.625587041024,space,0.2352776249172166,None,2504.6276284580817,2505.0297103747184,2505.484336416004,2505.464674000046,2505.46697233303,2505.484336416004,2505.484336416004,2505.484336416004,2508.0307092081057,400,1,[2.5460000410676003],[2.5460054160794243],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.1,1000.0,exp,363,3,30,space,0.2320607090368867,None,200,1,[4.631351000047289],[4.6313559169648215],30,3,363,3,2508.0393967910204,,2508.030891250004,2508.0393967910204,2509.0239435000112,2509.0239435000112,2509.0304283330915,2509.2591131660156,space,0.2320607090368867,None,2509.2611125000985,2509.3629663327633,2509.815100583015,2509.796620500041,2509.7980978330597,2509.815100583015,2509.815100583015,2509.815100583015,2514.446821125108,200,1,[4.631351000047289],[4.6313559169648215],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.1,400.0,unexp,364,4,30,space,0.24251829099375755,None,500,1,[5.204513957956806],[5.204518791055307],30,4,364,0,2514.455420375103,,2514.4469998750137,2514.455420375103,2515.440535666072,2515.440535666072,2515.4466888330644,2515.6921915410785,space,0.24251829099375755,None,2515.694226041087,2515.795932249694,2516.25062562502,2516.2297715410823,2516.2320084160892,2516.25062562502,2516.25062562502,2516.25062562502,2521.455543750082,500,1,[5.204513957956806],[5.204518791055307],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
