stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
28,1,1.0,31.77926979199401,,31.771940167003777,31.77926979199401,32.26996008399874,32.26996008399874,32.27390287499293,32.556948958997964,32.90492420899682,left,-1.0,1,1,0.6264809999993304,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
29,1,1.0,32.912964834002196,,32.90529345899995,32.912964834002196,33.40315399999963,33.40315399999963,33.406679042003816,33.690523750003194,34.471717084001284,right,1.0,1,1,1.0570774579973659,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
30,1,1.0,34.479924250001204,,34.472114292002516,34.479924250001204,34.969903916993644,34.969903916993644,34.97369262498978,35.256189791994984,35.65761087500141,right,1.0,1,1,0.6835395829984918,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
31,1,1.0,35.66998208400037,,35.65785350000078,35.66998208400037,36.15319758398982,36.15319758398982,36.15744395898946,36.44039708399214,36.85510208399501,right,1.0,1,1,0.6941509580065031,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
32,1,1.0,36.86267037499056,,36.85547837500053,36.86267037499056,37.35326529199665,37.35326529199665,37.35726687499846,37.640431459003594,37.988780375002534,right,1.0,1,1,0.6310663750045933,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
33,1,1.0,37.99723820899089,,37.989238041991484,37.99723820899089,38.48672279198945,38.48672279198945,38.490942749995156,38.77369083400117,39.07155279199651,left,-1.0,1,1,0.5814804999972694,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
34,1,1.0,39.07949874999758,,39.07192791700072,39.07949874999758,39.56990679199225,39.56990679199225,39.573629874998005,39.85656279200339,40.18815633399936,left,-1.0,1,1,0.6073149590083631,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
35,1,1.0,40.19613579199358,,40.188527042002534,40.19613579199358,40.68653274999815,40.68653274999815,40.69083670899272,40.97315245900245,41.3054230419948,left,-1.0,1,1,0.6096697920002043,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
36,1,1.0,41.31383649999043,,41.30605091700272,41.31383649999043,41.80320162499265,41.80320162499265,41.80838729199604,42.089598874998046,42.34098312500282,left,-1.0,1,1,0.5339045419968897,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
37,1,1.0,42.35331999999471,,42.34123516699765,42.35331999999471,42.83649816700199,42.83649816700199,42.84047916700365,43.12394795900036,43.43853745899105,left,-1.0,1,1,0.59146083300584,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
