image_name,condition,thisN,thisTrialN,thisRepN,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro_instructions.started,text_2.started,key_resp.started,intro_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,stim_image.started,fixation.stopped,stim_image.stopped,text.started,remember_box.started,familiar_box.started,forgotten_box.started,remember_text.started,familiar_text.started,forgotten_text.started,mouse_resp.started,trial.stopped,response_label,response_code,trials.mouse_resp.x,trials.mouse_resp.y,trials.mouse_resp.leftButton,trials.mouse_resp.midButton,trials.mouse_resp.rightButton,trials.mouse_resp.time,trials.mouse_resp.clicked_name,end_thanks.started,thanks.started,thanks.stopped,end_thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Pigeon 6.jpg,old,58,58,0,[np.float64(-0.03138075313807531)],[np.float64(-0.29497907949790797)],[1],[0],[0],[0.2930295830592513],['familiar_box'],0,58,58,26,308.7166419159621,,,,,,,,,308.71262266591657,308.7166419159621,309.69832524994854,309.71475691592786,312.6875182079384,312.6975140830036,312.6975140830036,312.6975140830036,312.6975140830036,312.6975140830036,312.6975140830036,312.6975140830036,4.002652000053786,313.0000868749339,Familiar,2,[np.float64(-0.03138075313807531)],[np.float64(-0.29497907949790797)],[1],[0],[0],[0.2930295830592513],['familiar_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Snow 3.jpg,old,59,59,0,[np.float64(-0.10564853556485355)],[np.float64(-0.303347280334728)],[1],[0],[0],[0.32543012499809265],['familiar_box'],0,59,59,43,313.3155397910159,,,,,,,,,313.3114753749687,313.3155397910159,314.29815595794935,314.3039951659739,317.28674316592515,317.30753145797644,317.30753145797644,317.30753145797644,317.30753145797644,317.30753145797644,317.30753145797644,317.30753145797644,4.00287887500599,317.6333520410117,Familiar,2,[np.float64(-0.10564853556485355)],[np.float64(-0.303347280334728)],[1],[0],[0],[0.32543012499809265],['familiar_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Shot 3.jpg,old,60,60,0,[np.float64(-0.3368200836820084)],[np.float64(-0.29497907949790797)],[1],[0],[0],[0.2769121660385281],['remember_box'],0,60,60,13,317.9478729579132,,,,,,,,,317.9438303329516,317.9478729579132,318.9314410829684,318.93791387497913,321.9203032909427,321.9409498749301,321.9409498749301,321.9409498749301,321.9409498749301,321.9409498749301,321.9409498749301,321.9409498749301,4.003143541980535,322.21831383300014,Remembered,3,[np.float64(-0.3368200836820084)],[np.float64(-0.29497907949790797)],[1],[0],[0],[0.2769121660385281],['remember_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Bark 6.jpg,old,61,61,0,"[np.float64(0.2196652719665272), np.float64(0.28556485355648537)]","[np.float64(-0.301255230125523), np.float64(-0.3075313807531381)]","[1, 1]","[0, 0]","[0, 0]","[0.7684514169814065, 1.3247543330071494]","[None, 'forgotten_box']",0,61,61,18,322.54289245791733,,,,,,,,,322.5389128329698,322.54289245791733,323.5208442909643,323.5367384579731,326.51476249995176,326.52497358294204,326.52497358294204,326.52497358294204,326.52497358294204,326.52497358294204,326.52497358294204,326.52497358294204,4.0162914170650765,327.8729864580091,none,0,"[np.float64(0.2196652719665272), np.float64(0.28556485355648537)]","[np.float64(-0.301255230125523), np.float64(-0.3075313807531381)]","[1, 1]","[0, 0]","[0, 0]","[0.7684514169814065, 1.3247543330071494]","[None, 'forgotten_box']",,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Performance 2.jpg,old,62,62,0,[np.float64(0.28451882845188287)],[np.float64(-0.3075313807531381)],[1],[0],[0],[0.23350133397616446],['forgotten_box'],0,62,62,44,328.19359558296856,,,,,,,,,328.1895796660101,328.19359558296856,329.17189666593913,329.1872456249548,332.1745188749628,332.1745188749628,332.1745188749628,332.1745188749628,332.1745188749628,332.1745188749628,332.1745188749628,332.1745188749628,4.0163851249963045,332.43176804098766,Forgotten,1,[np.float64(0.28451882845188287)],[np.float64(-0.3075313807531381)],[1],[0],[0],[0.23350133397616446],['forgotten_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Spider 2.jpg,old,63,63,0,[np.float64(0.28451882845188287)],[np.float64(-0.3075313807531381)],[1],[0],[0],[0.25271004100795835],['forgotten_box'],0,63,63,29,332.7471941249678,,,,,,,,,332.74300795793533,332.7471941249678,333.7314347079955,333.73793145793024,336.72029645799194,336.72982437501196,336.72982437501196,336.72982437501196,336.72982437501196,336.72982437501196,336.72982437501196,336.72982437501196,4.000806749914773,336.99007850000635,Forgotten,1,[np.float64(0.28451882845188287)],[np.float64(-0.3075313807531381)],[1],[0],[0],[0.25271004100795835],['forgotten_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Rocks 1.jpg,new,64,64,0,[np.float64(0.28451882845188287)],[np.float64(-0.3075313807531381)],[1],[0],[0],[0.3683597920462489],['forgotten_box'],0,64,64,58,337.3096970829647,,,,,,,,,337.30553383298684,337.3096970829647,338.28789766598493,338.3042379160179,341.2812495830003,341.29123562492896,341.29123562492896,341.29123562492896,341.29123562492896,341.29123562492896,341.29123562492896,341.29123562492896,4.016268958919682,341.6831732909195,Forgotten,1,[np.float64(0.28451882845188287)],[np.float64(-0.3075313807531381)],[1],[0],[0],[0.3683597920462489],['forgotten_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Feces 1.jpg,new,65,65,0,[np.float64(-0.28556485355648537)],[np.float64(-0.30857740585774057)],[1],[0],[0],[0.5308941249968484],['remember_box'],0,65,65,55,341.99917595798615,,,,,,,,,341.9952488329727,341.99917595798615,342.98137129098177,342.9980476659257,345.9700277079828,345.99211337498855,345.99211337498855,345.99211337498855,345.99211337498855,345.99211337498855,345.99211337498855,345.99211337498855,4.004333666991442,346.52339829097036,Remembered,3,[np.float64(-0.28556485355648537)],[np.float64(-0.30857740585774057)],[1],[0],[0],[0.5308941249968484],['remember_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Tornado 1.jpg,old,66,66,0,[np.float64(-0.34414225941422594)],[np.float64(-0.3023012552301255)],[1],[0],[0],[0.23553262499626726],['remember_box'],0,66,66,40,346.84057645802386,,,,,,,,,346.83641554100905,346.84057645802386,347.8220157499891,347.8377329579089,350.82423675002065,350.82423675002065,350.82423675002065,350.82423675002065,350.82423675002065,350.82423675002065,350.82423675002065,350.82423675002065,4.0175346250180155,351.08368312497623,Remembered,3,[np.float64(-0.34414225941422594)],[np.float64(-0.3023012552301255)],[1],[0],[0],[0.23553262499626726],['remember_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Toast 1,new,67,67,0,[np.float64(0.3378661087866109)],[np.float64(-0.3263598326359833)],[1],[0],[0],[0.22574849997181445],['forgotten_box'],0,67,67,51,351.39859187498223,,,,,,,,,351.39462858298793,351.39859187498223,352.38703241595067,352.38703241595067,355.38109674991574,355.3908679159358,355.3908679159358,355.3908679159358,355.3908679159358,355.3908679159358,355.3908679159358,355.3908679159358,4.00240270793438,355.61715133301914,Forgotten,1,[np.float64(0.3378661087866109)],[np.float64(-0.3263598326359833)],[1],[0],[0],[0.22574849997181445],['forgotten_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Bloody knife 1.jpg,new,68,68,0,[np.float64(0.07845188284518828)],[np.float64(-0.32426778242677823)],[1],[0],[0],[0.2593292499659583],['familiar_box'],0,68,68,54,355.9341985830106,,,,,,,,,355.9300091660116,355.9341985830106,356.9219713329803,356.93116654094774,359.92383779096417,359.92383779096417,359.92383779096417,359.92383779096417,359.92383779096417,359.92383779096417,359.92383779096417,359.92383779096417,4.001774042029865,360.18360045796726,Familiar,2,[np.float64(0.07845188284518828)],[np.float64(-0.32426778242677823)],[1],[0],[0],[0.2593292499659583],['familiar_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Feces 2.jpg,old,69,69,0,[np.float64(-0.3002092050209205)],[np.float64(-0.3106694560669456)],[1],[0],[0],[0.7808286250801757],['remember_box'],0,69,69,12,360.4996607910143,,,,,,,,,360.49553083302453,360.4996607910143,361.48765216593165,361.4977997079259,364.4812216659775,364.49106308293995,364.49106308293995,364.49106308293995,364.49106308293995,364.49106308293995,364.49106308293995,364.49106308293995,4.002969041932374,365.27228629100136,Remembered,3,[np.float64(-0.3002092050209205)],[np.float64(-0.3106694560669456)],[1],[0],[0],[0.7808286250801757],['remember_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Astronaut 2,new,70,70,0,[np.float64(0.34309623430962344)],[np.float64(-0.3169456066945607)],[1],[0],[0],[0.2732285410165787],['forgotten_box'],0,70,70,53,365.5916664159158,,,,,,,,,365.5875990409404,365.5916664159158,366.5714445000049,366.5864476659335,369.57527266594116,369.57527266594116,369.57527266594116,369.57527266594116,369.57527266594116,369.57527266594116,369.57527266594116,369.57527266594116,4.001537041040137,369.8561568330042,Forgotten,1,[np.float64(0.34309623430962344)],[np.float64(-0.3169456066945607)],[1],[0],[0],[0.2732285410165787],['forgotten_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Statue 2.jpg,new,71,71,0,[np.float64(0.34309623430962344)],[np.float64(-0.3169456066945607)],[1],[0],[0],[0.20872945804148912],['forgotten_box'],0,71,71,59,370.1749249579152,,,,,,,,,370.17051787499804,370.1749249579152,371.15466050000396,371.1695817079162,374.1477948749671,374.15757112496067,374.15757112496067,374.15757112496067,374.15757112496067,374.15757112496067,374.15757112496067,374.15757112496067,4.016845916979946,374.3898976659402,Forgotten,1,[np.float64(0.34309623430962344)],[np.float64(-0.3169456066945607)],[1],[0],[0],[0.20872945804148912],['forgotten_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.6966980829602,374.7018473329954,375.69772529101465,375.68769029097166,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
